instance_id,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
77103.0,Lemon Jelly,'75 aka Stay With You,52.0,0.0307,0.7120000000000001,371507.0,0.8270000000000001,0.795,C#,0.122,-7.331,Major,0.0414,126.001,0.305,Jazz
71962.0,Lemon Jelly,'75 aka Stay With You,51.0,0.0307,0.7120000000000001,371507.0,0.8270000000000001,0.795,C#,0.122,-7.331,Major,0.0414,126.001,0.305,Electronic
77574.0,Car Seat Headrest,(Joe Gets Kicked Out of School for Using) Drugs With Friends (But Says This Isn't a Problem),49.0,0.3339999999999999,0.436,337107.0,0.452,0.000843,D,0.0867,-7.702000000000001,Major,0.0257,106.07,0.401,Alternative
70496.0,Car Seat Headrest,(Joe Gets Kicked Out of School for Using) Drugs With Friends (But Says This Isn't a Problem),53.0,0.3339999999999999,0.436,337107.0,0.452,0.000843,D,0.0867,-7.702000000000001,Major,0.0257,106.07,0.401,Rock
20145.0,Jackie Wilson,(Your Love Keeps Lifting Me) Higher & Higher,69.0,0.176,0.631,181067.0,0.69,0.0,D,0.121,-6.676,Major,0.0531,94.574,0.938,Blues
60181.0,Jackie Wilson,(Your Love Keeps Lifting Me) Higher & Higher,73.0,0.176,0.631,181067.0,0.69,0.0,D,0.121,-6.676,Major,0.0531,94.574,0.938,Rock
44197.0,Amerie,1 Thing,56.0,0.115,0.636,238747.0,0.946,3.75e-05,A#,0.0416,-4.683,Minor,0.332,125.085,0.8909999999999999,Alternative
86585.0,Amerie,1 Thing,60.0,0.115,0.636,238747.0,0.946,3.75e-05,A#,0.0416,-4.683,Minor,0.332,125.085,0.8909999999999999,Hip-Hop
43672.0,Blac Youngsta,1 on 1,48.0,0.000525,0.905,192840.0,0.677,0.0,D,0.251,-7.987,Major,0.345,140.882,0.598,Rap
29350.0,Blac Youngsta,1 on 1,48.0,0.000525,0.905,192840.0,0.677,0.0,D,0.251,-7.987,Major,0.345,140.882,0.598,Hip-Hop
57240.0,Metro Boomin,10 Freaky Girls (with 21 Savage),85.0,0.588,0.81,208293.0,0.353,0.0,F#,0.102,-9.931,Minor,0.31,88.031,0.0727,Hip-Hop
45363.0,Metro Boomin,10 Freaky Girls (with 21 Savage),85.0,0.588,0.81,208293.0,0.353,0.0,F#,0.102,-9.931,Minor,0.31,88.031,0.0727,Rap
38366.0,The Game,100 (feat. Drake),61.0,0.0136,0.8009999999999999,334360.0,0.521,0.0,E,0.179,-9.871,Minor,0.28,108.025,0.412,Rap
69953.0,The Game,100 (feat. Drake),61.0,0.0136,0.8009999999999999,334360.0,0.521,0.0,E,0.179,-9.871,Minor,0.28,108.025,0.412,Hip-Hop
37605.0,Lil Durk,100 Grand (feat. Ty Dolla $ign & A Boogie wit da Hoodie),66.0,0.11,0.794,158987.0,0.637,0.0,B,0.185,-6.372999999999999,Major,0.267,,0.503,Rap
20271.0,Lil Durk,100 Grand (feat. Ty Dolla $ign & A Boogie wit da Hoodie),66.0,0.11,0.794,158987.0,0.637,0.0,B,0.185,-6.372999999999999,Major,0.267,,0.503,Hip-Hop
74347.0,THEY.,18 Months (feat. Ty Dolla $ign),50.0,0.0566,0.6940000000000001,192707.0,0.504,0.0,F#,0.178,-6.881,Major,0.131,98.006,0.605,Alternative
22621.0,THEY.,18 Months (feat. Ty Dolla $ign),58.0,0.0566,0.6940000000000001,192707.0,0.504,0.0,F#,0.178,-6.881,Major,0.131,98.006,0.605,Hip-Hop
64997.0,Richard Thompson,1952 Vincent Black Lightning,53.0,0.374,0.488,283493.0,0.209,5.05e-06,A#,0.103,-19.549,Major,0.0369,120.63,0.362,Alternative
